CustomerID,LastPurshaceDate,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment,TransactionID,PurchaseDate,Quantity,Unit price,Age,Gender,Region,ByCash,Color,ProductOnSale,ProductSeason,Reviews,Salary,Score,date,TotalCost
1001,2023-05-26,181,1,944.0,272.0,233.0,449.0,40.0,34.0,34.0,35.0,Risky Customers,376603,2023-05-26,1.0,944.0,58,male,South America ,1,Purple,0.0,spring,Adidas compression shorts provide excellent support without compromising on comfort.,569,4,2023-05-26,944.0
1005,2023-11-03,20,1,662.0,628.0,233.0,309.0,91.0,34.0,34.0,48.0,Risky Customers,782107,2023-11-03,1.0,662.0,40,male,North America,1,Yellow,0.0,summer,The quality of Adidas shoes could be better for the price.,1119,2,2023-11-03,662.0
1006,2023-05-03,204,1,954.0,229.0,233.0,466.0,33.0,34.0,34.0,34.0,Risky Customers,728203,2023-05-03,1.0,953.75,49,male,Asia,0,Brown,0.0,summer,"Adidas basketball shorts for kids combine style and functionality, meeting the demands of young players.",548,5,2023-05-03,953.75
1007,2023-08-05,110,1,206.0,413.0,233.0,94.0,60.0,34.0,34.0,40.0,Risky Customers,738130,2023-08-05,1.0,206.0,43,male,Asia,1,Red,0.0,spring,"Adidas golf visors offer sun protection with a sporty look, enhancing the golfing experience.",593,5,2023-08-05,206.0
1009,2023-09-13,71,1,247.0,499.0,233.0,110.0,73.0,34.0,34.0,44.0,Risky Customers,838692,2023-09-13,1.0,247.0,60,male,Asia,1,mix,0.0,summer,Adidas needs to keep up with the latest fashion trends.,419,2,2023-09-13,247.0
1010,2023-03-28,240,1,246.0,173.0,233.0,109.0,25.0,34.0,34.0,32.0,Risky Customers,505119,2023-03-28,1.0,246.0,52,female,North America,1,Turquoise,0.0,winter,"Adidas soccer gloves for kids provide a secure grip, enhancing the young goalkeeper's performance.",538,5,2023-03-28,246.0
1012,2023-01-05,322,1,889.0,60.0,233.0,424.0,9.0,34.0,34.0,28.0,Risky Customers,191405,2023-01-05,1.0,889.0,56,male,Asia,0,Olive,1.0,summer,"Adidas compression shorts offer good support, but some users may prefer a longer length.",570,3,2023-01-05,889.0
1016,2023-03-12,256,1,85.0,142.0,233.0,36.0,21.0,34.0,34.0,31.0,Risky Customers,873953,2023-03-12,1.0,85.0,30,male,Asia,1,Lavender,1.0,winter,"Adidas slides are comfortable for lounging, but they may lack arch support.",1071,3,2023-03-12,85.0
1017,2023-08-25,90,1,709.0,458.0,233.0,326.0,67.0,34.0,34.0,42.0,Risky Customers,980920,2023-08-25,1.0,709.0,29,male,Europe,0,Turquoise,1.0,spring,The Adidas customer service representative was rude and unhelpful.,674,1,2023-08-25,709.0
1023,2023-08-07,108,1,954.0,415.0,233.0,466.0,60.0,34.0,34.0,41.0,Risky Customers,151162,2023-08-07,1.0,953.75,25,female,North America,1,Purple,1.0,summer,"Adidas basketball jerseys for kids combine style and functionality, meeting the unique needs of young players.",880,5,2023-08-07,953.75
1024,2023-07-19,127,1,310.0,384.0,233.0,143.0,56.0,34.0,34.0,39.0,Risky Customers,470535,2023-07-19,1.0,310.0,45,female,North America,1,mix,0.0,winter,Adidas could do more in terms of community and social responsibility.,519,2,2023-07-19,310.0
1025,2023-02-03,293,1,954.0,95.0,233.0,466.0,14.0,34.0,34.0,29.0,Risky Customers,479375,2023-02-03,1.0,953.75,29,female,South America ,0,Magenta,1.0,summer,Adidas volleyball shoes for kids provide the essential comfort and support needed for optimal performance on the court.,1126,5,2023-02-03,953.75
1026,2023-06-21,155,1,170.0,328.0,233.0,79.0,48.0,34.0,34.0,37.0,Risky Customers,269527,2023-06-21,1.0,170.0,31,female,Europe,0,Purple,1.0,winter,"Adidas cycling gloves provide a comfortable grip, enhancing the cycling experience.",1009,4,2023-06-21,170.0
1028,2023-09-13,71,1,954.0,499.0,233.0,466.0,73.0,34.0,34.0,44.0,Risky Customers,943260,2023-09-13,1.0,953.75,46,male,North America,0,Green,0.0,winter,"Adidas wrestling shoes for kids deliver a reliable grip and support, elevating the performance of young wrestlers on the mat.",481,5,2023-09-13,953.75
1032,2023-07-18,128,1,71.0,383.0,233.0,14.0,56.0,34.0,34.0,39.0,Risky Customers,732518,2023-07-18,1.0,71.0,36,female,North America,1,Yellow,1.0,fall,"Adidas weightlifting straps are durable, but they may be too long for some lifters.",1083,3,2023-07-18,71.0
1038,2023-01-08,319,1,257.0,64.0,233.0,115.0,9.0,34.0,34.0,28.0,Risky Customers,623312,2023-01-08,1.0,257.0,23,female,South America ,0,Gray,1.0,fall,"Adidas basketball jerseys for kids combine style and functionality, meeting the needs of young players.",732,4,2023-01-08,257.0
1041,2023-05-10,197,1,192.0,240.0,233.0,88.0,35.0,34.0,34.0,34.0,Risky Customers,634271,2023-05-10,1.0,192.0,55,male,South America ,0,Olive,1.0,fall,"Adidas has become too mainstream, and the uniqueness is fading.",454,2,2023-05-10,192.0
1042,2023-07-10,136,1,954.0,371.0,233.0,466.0,54.0,34.0,34.0,39.0,Risky Customers,782373,2023-07-10,1.0,953.75,36,male,Asia,0,Brown,1.0,spring,"Adidas wrestling kneepads for kids offer protection and comfort, ensuring safety during wrestling matches.",1121,5,2023-07-10,953.75
1044,2023-04-12,225,1,536.0,200.0,233.0,244.0,29.0,34.0,34.0,33.0,Risky Customers,842116,2023-04-12,1.0,536.0,49,male,Asia,0,mix,1.0,summer,"I received the wrong color for my Adidas hoodie, and returns were a headache.",515,1,2023-04-12,536.0
1045,2023-06-16,160,1,214.0,319.0,233.0,96.0,46.0,34.0,34.0,37.0,Risky Customers,217538,2023-06-16,1.0,214.0,60,female,North America,0,Olive,1.0,fall,"Adidas snow boots offer insulation and protection, making them suitable for cold conditions.",409,4,2023-06-16,214.0
1047,2023-09-10,74,1,557.0,494.0,233.0,262.0,72.0,34.0,34.0,43.0,Risky Customers,198951,2023-09-10,1.0,557.0,43,male,Asia,0,Yellow,1.0,spring,"Adidas weightlifting gloves offer a secure grip, preventing calluses during workouts.",444,5,2023-09-10,557.0
1048,2023-02-25,271,1,270.0,126.0,233.0,124.0,18.0,34.0,34.0,30.0,Risky Customers,201209,2023-02-25,1.0,270.0,20,female,Asia,0,Maroon,0.0,winter,"Adidas swimming fins for kids provide propulsion and support, enhancing their swimming skills.",572,5,2023-02-25,270.0
1049,2023-09-26,58,1,911.0,535.0,233.0,438.0,78.0,34.0,34.0,45.0,Risky Customers,372306,2023-09-26,1.0,911.0,28,male,Europe,1,Magenta,0.0,winter,"Adidas basketball hoops for kids are sturdy and adjustable, providing endless hours of fun.",734,5,2023-09-26,911.0
